AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10,AT11,AT12,AT13,AT14,AT15,AT16,AT17,AT18,AT19,AT20
0,6,4,3,1169,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201
1,48,2,3,5951,A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201
3,12,4,6,2096,A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201
0,42,2,2,7882,A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201
0,24,3,0,4870,A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201
3,36,2,6,9055,A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201
3,24,2,2,2835,A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201
1,36,2,1,6948,A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201
3,12,2,3,3059,A64,A74,2,A91,A101,4,A121,61,A143,A152,1,A172,1,A191,A201
1,30,4,0,5234,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201
1,12,2,0,1295,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201
0,48,2,9,4308,A61,A72,3,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201
1,12,2,3,1567,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201
0,24,4,0,1199,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201
0,15,2,0,1403,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201
0,24,2,3,1282,A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201
3,24,4,3,2424,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201
0,30,0,9,8072,A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201
1,24,2,1,12579,A61,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201
3,24,2,3,3430,A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201
3,9,4,0,2134,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201
0,6,2,3,2647,A63,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201
0,10,4,0,2241,A61,A72,1,A93,A101,3,A121,48,A143,A151,2,A172,2,A191,A202
1,12,4,1,1804,A62,A72,3,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201
3,10,4,2,2069,A65,A73,2,A94,A101,1,A123,26,A143,A152,2,A173,1,A191,A202
0,6,2,2,1374,A61,A73,1,A93,A101,2,A121,36,A141,A152,1,A172,1,A192,A201
3,6,0,3,426,A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201
2,12,1,3,409,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201
1,7,2,3,2415,A61,A73,3,A93,A103,2,A121,34,A143,A152,1,A173,1,A191,A201
0,60,3,9,6836,A61,A75,3,A93,A101,4,A124,63,A143,A152,2,A173,1,A192,A201
1,18,2,9,1913,A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201
0,24,2,2,4020,A61,A73,2,A93,A101,2,A123,27,A142,A152,1,A173,1,A191,A201
1,18,2,0,5866,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201
3,12,4,9,1264,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201
2,12,2,2,1474,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201
1,45,4,3,4746,A61,A72,4,A93,A101,2,A122,25,A143,A152,2,A172,1,A191,A201
3,48,4,6,6110,A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201
2,18,2,3,2100,A61,A73,4,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201
2,10,2,4,1225,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201
1,9,2,3,458,A61,A73,4,A93,A101,3,A121,24,A143,A152,1,A173,1,A191,A201
3,30,2,3,2333,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201
1,12,2,3,1158,A63,A73,3,A91,A101,1,A123,26,A143,A152,1,A173,1,A192,A201
1,18,3,5,6204,A61,A73,2,A93,A101,4,A121,44,A143,A152,1,A172,2,A192,A201
0,30,4,1,6187,A62,A74,1,A94,A101,4,A123,24,A143,A151,2,A173,1,A191,A201
0,48,4,1,6143,A61,A75,4,A92,A101,4,A124,58,A142,A153,2,A172,1,A191,A201
3,11,4,0,1393,A61,A72,4,A92,A101,4,A123,35,A143,A152,2,A174,1,A191,A201
3,36,2,3,2299,A63,A75,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A191,A201
0,6,2,1,1352,A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201
3,11,4,0,7228,A61,A73,1,A93,A101,4,A122,39,A143,A152,2,A172,1,A191,A201
3,12,2,3,2073,A62,A73,4,A92,A102,2,A121,28,A143,A152,1,A173,1,A191,A201
1,24,3,2,2333,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201
1,27,3,1,5965,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201
3,12,2,3,1262,A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201
3,18,2,1,3378,A65,A73,2,A93,A101,1,A122,31,A143,A152,1,A173,1,A192,A201
1,36,3,0,2225,A61,A75,4,A93,A101,4,A124,57,A141,A153,2,A173,1,A192,A201
3,6,1,0,783,A65,A73,1,A93,A103,2,A121,26,A142,A152,1,A172,2,A191,A201
1,12,2,3,6468,A65,A71,2,A93,A101,1,A124,52,A143,A152,1,A174,1,A192,A201
3,36,4,3,9566,A61,A73,2,A92,A101,2,A123,31,A142,A152,2,A173,1,A191,A201
2,18,2,0,1961,A61,A75,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201
